ID,No.,Composer,Composer_Eng,Artist,Artist_Eng,Title,Title_Eng,CD,Track_No.,FileName
28,24,"バッハ, J.S.","Bach, Johann Sebastian",渡辺 温子,Atsuko Watanabe,「アンナ・マグダレーナ・バッハのための音楽帳」第1曲 メヌエット ト長調,<The Anne Magdalena Bach Notebooks> 1. Menuet in G major,RWC-MDB-C-2001-M04,10,RWC-MDB-C-2001-M04/10.wav
29,24,"バッハ, J.S.","Bach, Johann Sebastian",渡辺 温子,Atsuko Watanabe,「アンナ・マグダレーナ・バッハのための音楽帳」第2曲 メヌエット ト短調,<The Anne Magdalena Bach Notebooks> 2. Menuet in G minor,RWC-MDB-C-2001-M04,11,RWC-MDB-C-2001-M04/11.wav
30,24,"バッハ, J.S.","Bach, Johann Sebastian",渡辺 温子,Atsuko Watanabe,「アンナ・マグダレーナ・バッハのための音楽帳」第8曲 ミュゼット ニ長調,<The Anne Magdalena Bach Notebooks> 8. Musette in D major,RWC-MDB-C-2001-M04,12,RWC-MDB-C-2001-M04/12.wav
31,25,"バッハ, J.S.","Bach, Johann Sebastian",渡辺 温子,Atsuko Watanabe,平均率クラヴィーア曲集 第1巻 第1番 ハ長調 BMV.846 プレリュード,"The Well-Tempered Clavier, Book 1 no.1 in C major BWV.846. Prelude",RWC-MDB-C-2001-M04,13,RWC-MDB-C-2001-M04/13.wav
32,25,"バッハ, J.S.","Bach, Johann Sebastian",渡辺 温子,Atsuko Watanabe,平均率クラヴィーア曲集 第1巻 第1番 ハ長調 BMV.846 フーガ,"The Well-Tempered Clavier, Book 1 no.1 in C major BWV.846. Fugue",RWC-MDB-C-2001-M04,14,RWC-MDB-C-2001-M04/14.wav
33,25,"バッハ, J.S.","Bach, Johann Sebastian",渡辺 温子,Atsuko Watanabe,平均率クラヴィーア曲集 第1巻 第2番 ハ長調 BMV.847 プレリュード,"The Well-Tempered Clavier, Book 1 no.2 in C major BWV.847. Prelude",RWC-MDB-C-2001-M04,15,RWC-MDB-C-2001-M04/15.wav
34,25,"バッハ, J.S.","Bach, Johann Sebastian",渡辺 温子,Atsuko Watanabe,平均率クラヴィーア曲集 第1巻 第2番 ハ長調 BMV.847 フーガ,"The Well-Tempered Clavier, Book 1 no.2 in C major BWV.847. Fugue",RWC-MDB-C-2001-M04,16,RWC-MDB-C-2001-M04/16.wav
35,26,"モーツァルト, W.A.","Mozart, Wolfgong Amadeus",清水 典夫,Norio Shimizu,ピアノ・ソナタ イ長調 K.331/300i「トルコ行進曲付き」 第1楽章,"Piano Sonata in A major, K.331/300i. 1st mvmt.",RWC-MDB-C-2001-M05,1,RWC-MDB-C-2001-M05/01.wav
36,27,"モーツァルト, W.A.","Mozart, Wolfgong Amadeus",古市 ゆり子,Yuriko Furuichi,「きらきら星」の主題による変奏曲 K.265/300e,"Variations on 'Ah Vous Dirai-je Maman', K.265/300e",RWC-MDB-C-2001-M05,2,RWC-MDB-C-2001-M05/02.wav
37,28,"ベートーヴェン, L.v.","Beethoven, Ludwig van",渡辺 さらさ,Sarasa Watanabe,ピアノ・ソナタ 第23番 ヘ短調 op.57 「熱情」第1楽章,"Piano Sonata no.23 in F minor, op.57 'Appasionata'. 1st mvmt.",RWC-MDB-C-2001-M05,3,RWC-MDB-C-2001-M05/03.wav
38,29,"シューマン, R.A.","Schumann, Roberto Alexander",清水 典夫,Norio Shimizu,「トロイメライ」(組曲「こどもの情景」op.15 第7曲),"'Trauimerei' from Suite <Kinderszenen>, op.15",RWC-MDB-C-2001-M05,4,RWC-MDB-C-2001-M05/04.wav
39,30,"ショパン, F.F.","Chopin, Frederic Francois",古市 ゆり子,Yuriko Furuichi,ノクターン 第2番 変ホ長調 op.9-2,"Nocturne no.2 in E flat major, op.9-2",RWC-MDB-C-2001-M05,5,RWC-MDB-C-2001-M05/05.wav
40,31,"ショパン, F.F.","Chopin, Frederic Francois",奈良井 巳城,Miki Narai,エチュード ホ長調 op.10-3 「別れの曲」,"Etude in E major, op.10-3",RWC-MDB-C-2001-M05,6,RWC-MDB-C-2001-M05/06.wav
41,32,"ショパン, F.F.","Chopin, Frederic Francois",古市 ゆり子,Yuriko Furuichi,エチュード ヘ短調 op.25-2,"Etude in F minor, op.25-2",RWC-MDB-C-2001-M05,7,RWC-MDB-C-2001-M05/07.wav
42,33,"ショパン, F.F.","Chopin, Frederic Francois",田島 陸子,Mutsuko Tajima,ボロネーズ 第6番 変イ長調 op.53「英雄」,Polonaise no.6 in A flat major 'Heroique' op.53,RWC-MDB-C-2001-M05,8,RWC-MDB-C-2001-M05/08.wav
43,34,"リスト, F.","Liszt, Franz",松岡 直子,Naoko Matsuoka,「ラ・カンパネラ」(バガニーニ大練習曲第3曲),'La Campanella' from <Grandes Etudes de Paganini>,RWC-MDB-C-2001-M05,9,RWC-MDB-C-2001-M05/09.wav
44,35,"サティ, E.","Satie, Erik",清水 典夫,Norio Shimizu,3つのジムノベディ 第1番,Three Gymnopedies no.1,RWC-MDB-C-2001-M05,10,RWC-MDB-C-2001-M05/10.wav
45,35,"サティ, E.","Satie, Erik",清水 典夫,Norio Shimizu,3つのジムノベディ 第2番,Three Gymnopedies no.2,RWC-MDB-C-2001-M05,11,RWC-MDB-C-2001-M05/11.wav
46,35,"サティ, E.","Satie, Erik",清水 典夫,Norio Shimizu,3つのジムノベディ 第3番,Three Gymnopedies no.3,RWC-MDB-C-2001-M05,12,RWC-MDB-C-2001-M05/12.wav
47,36,"バッハ, J.S.","Bach, Johann Sebastian",水鳥 路,Michi Mizutori,無伴奏ヴァイオリンのためのソナタとバルディータ第6番（バルディータ第3番) ホ長調 BWV.1006 第3曲 カヴォットとロンド,"6 Sonatas and Partitas for Unaccompanied Violin no.6 (Partita no.3) in E major, BWV 1006. 3 . Gavotte en Rondeau",RWC-MDB-C-2001-M06,1,RWC-MDB-C-2001-M06/01.wav
48,37,"ベートーヴェン, L.v.","Beethoven, Ludwig van",水鳥 路,Michi Mizutori,ヴァイオリン・ソナタ 第5番 ヘ長調 op.24「春」第3楽章,"Violin Sonata no.5 in F major, op.24 'Spring'. 3rd mvmt.",RWC-MDB-C-2001-M06,2,RWC-MDB-C-2001-M06/02.wav
49,38,"パガニーニ, N.","Paganini, Niccolo",水鳥 路,Michi Mizutori,24の奇想曲 op.1 第24曲 イ短調,"24 Caprices, op.1 no.24 in A minor",RWC-MDB-C-2001-M06,3,RWC-MDB-C-2001-M06/03.wav
50,39,"フランク, C.","Franck, Cesar",水鳥 路,Michi Mizutori,ヴァイオリン・ソナタ イ長調 第4楽章,Violin Sonata in A major. 4th mvmt.,RWC-MDB-C-2001-M06,4,RWC-MDB-C-2001-M06/04.wav
51,40,"マスネ, J.","Massenet, Jules",水鳥 路,Michi Mizutori,「タイスの瞑想曲」(歌劇「タイス」より),Meditation from <Thais>,RWC-MDB-C-2001-M06,5,RWC-MDB-C-2001-M06/05.wav
52,41,"バッハ, J.S.","Bach, Johann Sebastian",宮澤 等,Hitoshi Miyazawa,無伴奏チェロ組曲 第1番 ト長調 BWV.1007 第1曲 前奏曲,"Suite for Unaccompanied Cello no.1 in G major, BWV 1007. 1. Prelude",RWC-MDB-C-2001-M06,6,RWC-MDB-C-2001-M06/06.wav
53,42,"サン・サーンス, C.","Saint-Saens, Camille",宮澤 等,Hitoshi Miyazawa,「白鳥」(組曲「動物の謝肉祭」第13曲),'Le Cygne' from Suite <Le Carnaval des Animaux>,RWC-MDB-C-2001-M06,7,RWC-MDB-C-2001-M06/07.wav
54,43,"フォーレ, G.","Faure, Gabriel",渡瀬 英彦,Hidehiko Watase,シチリエンヌ(シシリアーノ) op.78,Sicilienne op.78,RWC-MDB-C-2001-M06,8,RWC-MDB-C-2001-M06/08.wav
55,44,"リムスキー・コルサコフ, N.","Rimski-Korsakov, Nikaloy",渡瀬 英彦,Hidehiko Watase,「熊蜂の飛行」,'The Flight of The Bumble Bee',RWC-MDB-C-2001-M06,9,RWC-MDB-C-2001-M06/09.wav
56,45,"ヘンデル, G.F.","Handel, George Frideric",柳沢 里穂子,Rihoko Yanagisawa,「樹木の陰で」(Ombra mai fu:Largo)(歌劇「クセルクセス」より),Air 'Ombra mai fu'(Largo) from <Serse> (Xerxes),RWC-MDB-C-2001-M06,10,RWC-MDB-C-2001-M06/10.wav
57,46,"モーツァルト, W.A.","Mozart, Wolfgong Amadeus",斉藤 真希子,Makiko Saito,アリア 14 (夜の女王のアリア)「復讐の心は地獄のようにわが胸に燃え」(歌劇「魔笛」K.620より),"Air 14(Queen of the Night's Air)'Der Holle Rache Kocht in meinem Herzen' from <Die Zauberflote>(The Magic Flute), K.620",RWC-MDB-C-2001-M06,11,RWC-MDB-C-2001-M06/11.wav
58,47,"シューベルト, F.P.","Schubert, Franz Peter",上田 飛鳥,Asuka Ueda,「セレナーデ」(歌曲集「白鳥の歌」D.957 第4曲),"'Standchen'(Serenade) from <Schwanengesong>, D.957",RWC-MDB-C-2001-M06,12,RWC-MDB-C-2001-M06/12.wav
59,48,"シューベルト, F.P.","Schubert, Franz Peter",小高 臣彦,Tomihiko Kotaka,「菩提樹」(歌曲集「冬の旅」op.89/D.911 第5曲),"'Der Lindenbaum' from <Winterreise>, op.89/D.911",RWC-MDB-C-2001-M06,13,RWC-MDB-C-2001-M06/13.wav
60,49,"ヴェルディ, G.","Verdi, Giuseppe",萩野 領介,Ryosuke Hagino,「女心の歌」(歌劇「リゴレット」より),Air 'La donna e mobile qual piuma al vento' from <Rigoletto>,RWC-MDB-C-2001-M06,14,RWC-MDB-C-2001-M06/14.wav
61,50,"ビゼー, G.","Bizet, Georges",遠山 裕美,Hiromi Tohyama,ミカエラのアリア「何を恐れることがありましょう」(歌劇「カルメン」より),Micaela's Air 'Je dis que rien ne m'epouvante' from <Carman>,RWC-MDB-C-2001-M06,15,RWC-MDB-C-2001-M06/15.wav
