ID,No.,Composer,Composer_Eng,Artist,Artist_Eng,Title,Title_Eng,CD,Track_No.,Genre,Genre_Eng,Sub-Genre,Sub-Genre_Eng,FileName
17,17,,,Donna Burke,Donna Burke,Tonight's the Night for Love,Tonight's the Night for Love,RWC-MDB-G-2001-M02,5,ダンス,Dance,ハウス,House,RWC-MDB-G-2001-M02/05.wav
18,18,,,Jeff Manning,Jeff Manning,Anything for Your Love,Anything for Your Love,RWC-MDB-G-2001-M02,6,ダンス,Dance,ハウス,House,RWC-MDB-G-2001-M02/06.wav
19,19,,,西 一男,Kazuo Nishi,Asia 2,Asia 2,RWC-MDB-G-2001-M02,7,ダンス,Dance,テクノ,Techno,RWC-MDB-G-2001-M02/07.wav
20,20,,,Donna Burke,Donna Burke,Keep Running,Keep Running,RWC-MDB-G-2001-M02,8,ダンス,Dance,テクノ,Techno,RWC-MDB-G-2001-M02/08.wav
21,21,,,Ichio,Ichio,Stf,Stf,RWC-MDB-G-2001-M02,9,ダンス,Dance,テクノ,Techno,RWC-MDB-G-2001-M02/09.wav
22,22,,,Donna Burke,Donna Burke,Get on up and Dance,Get on up and Dance,RWC-MDB-G-2001-M02,10,ダンス,Dance,ファンク,Funk,RWC-MDB-G-2001-M02/10.wav
23,23,,,Greg Irwin,Greg Irwin,Feeling the Hate,Feeling the Hate,RWC-MDB-G-2001-M02,11,ダンス,Dance,ファンク,Funk,RWC-MDB-G-2001-M02/11.wav
24,24,,,Greg Irwin,Greg Irwin,Trustin' in your Groove,Trustin' in your Groove,RWC-MDB-G-2001-M02,12,ダンス,Dance,ファンク,Funk,RWC-MDB-G-2001-M02/12.wav
25,25,,,Donna Burke,Donna Burke,It's Time to Fly,It's Time to Fly,RWC-MDB-G-2001-M02,13,ダンス,Dance,ソウル/R&B,Soul/R&B,RWC-MDB-G-2001-M02/13.wav
26,26,,,Donna Burke,Donna Burke,Secret Dreams,Secret Dreams,RWC-MDB-G-2001-M02,14,ダンス,Dance,ソウル/R&B,Soul/R&B,RWC-MDB-G-2001-M02/14.wav
27,27,,,Greg Irwin,Greg Irwin,Suddenly,Suddenly,RWC-MDB-G-2001-M02,15,ダンス,Dance,ソウル/R&B,Soul/R&B,RWC-MDB-G-2001-M02/15.wav
28,28,,,HH Band,HH Band,Wind Up,Wind Up,RWC-MDB-G-2001-M03,1,ジャズ,Jazz,ビッグバンド,Big Band,RWC-MDB-G-2001-M03/01.wav
29,29,,,HH Band,HH Band,Bubble,Bubble,RWC-MDB-G-2001-M03,2,ジャズ,Jazz,ビッグバンド,Big Band,RWC-MDB-G-2001-M03/02.wav
30,30,,,HH Band,HH Band,Kitchen,Kitchen,RWC-MDB-G-2001-M03,3,ジャズ,Jazz,ビッグバンド,Big Band,RWC-MDB-G-2001-M03/03.wav
31,31,,,中村 真 トリオ,Makoto Nakamura Trio,Azure,Azure,RWC-MDB-G-2001-M03,4,ジャズ,Jazz,モダンジャズ,Modern Jazz,RWC-MDB-G-2001-M03/04.wav
32,32,,,永井 隆雄 トリオ,Takao Nagai Torio,Chuggin',Chuggin',RWC-MDB-G-2001-M03,5,ジャズ,Jazz,モダンジャズ,Modern Jazz,RWC-MDB-G-2001-M03/05.wav
33,33,,,H's Band,H's Band,The Ramp,The Ramp,RWC-MDB-G-2001-M03,6,ジャズ,Jazz,モダンジャズ,Modern Jazz,RWC-MDB-G-2001-M03/06.wav
34,34,,,22 Project Band,22 Project Band,Tea Break,Tea Break,RWC-MDB-G-2001-M03,7,ジャズ,Jazz,フュージョン,Fusion,RWC-MDB-G-2001-M03/07.wav
35,35,,,22 Project Band,22 Project Band,Gypsy Eyes,Gypsy Eyes,RWC-MDB-G-2001-M03,8,ジャズ,Jazz,フュージョン,Fusion,RWC-MDB-G-2001-M03/08.wav
36,36,,,22 Project Band,22 Project Band,Wind Flower,Wind Flower,RWC-MDB-G-2001-M03,9,ジャズ,Jazz,フュージョン,Fusion,RWC-MDB-G-2001-M03/09.wav
37,37,,,ボサノバーズ,Bossa Novas,Musica Nova,Musica Nova,RWC-MDB-G-2001-M04,1,ラテン,Latin,ボサノバ,Bossa Nova,RWC-MDB-G-2001-M04/01.wav
38,38,,,ボサノバーズ,Bossa Novas,Misty Rouge,Misty Rouge,RWC-MDB-G-2001-M04,2,ラテン,Latin,ボサノバ,Bossa Nova,RWC-MDB-G-2001-M04/02.wav
39,39,,,S Project Band,S Project Band,Julia,Julia,RWC-MDB-G-2001-M04,3,ラテン,Latin,ボサノバ,Bossa Nova,RWC-MDB-G-2001-M04/03.wav
40,40,,,サンバーズ,Sambars,Lovely Woman,Lovely Woman,RWC-MDB-G-2001-M04,4,ラテン,Latin,サンバ,Samba,RWC-MDB-G-2001-M04/04.wav
41,41,,,サンバーズ,Sambars,Dance to the Samba,Dance to the Samba,RWC-MDB-G-2001-M04,5,ラテン,Latin,サンバ,Samba,RWC-MDB-G-2001-M04/05.wav
42,42,,,サンバーズ,Sambars,Sway So Gentle,Sway So Gentle,RWC-MDB-G-2001-M04,6,ラテン,Latin,サンバ,Samba,RWC-MDB-G-2001-M04/06.wav
43,43,,,On Band,On Band,Moon Struk,Moon Struk,RWC-MDB-G-2001-M04,7,ラテン,Latin,レゲエ,Reggae,RWC-MDB-G-2001-M04/07.wav
44,44,,,On Band,On Band,Eric's Reggae,Eric's Reggae,RWC-MDB-G-2001-M04,8,ラテン,Latin,レゲエ,Reggae,RWC-MDB-G-2001-M04/08.wav
45,45,,,On Band,On Band,Where Are You?,Where Are You?,RWC-MDB-G-2001-M04,9,ラテン,Latin,レゲエ,Reggae,RWC-MDB-G-2001-M04/09.wav
46,46,,,タンゴ ハウス,Tango House,Tango Noir,Tango Noir,RWC-MDB-G-2001-M04,10,ラテン,Latin,タンゴ,Tango,RWC-MDB-G-2001-M04/10.wav
47,47,,,タンゴ ハウス,Tango House,Kittenish Tango,Kittenish Tango,RWC-MDB-G-2001-M04,11,ラテン,Latin,タンゴ,Tango,RWC-MDB-G-2001-M04/11.wav
48,48,,,タンゴ ハウス,Tango House,Tango in Twilight,Tango in Twilight,RWC-MDB-G-2001-M04,12,ラテン,Latin,タンゴ,Tango,RWC-MDB-G-2001-M04/12.wav
49,49,"ヘンデル, G.F.","Handel, George Frideric",東京シティ・フィルハーモニック管弦楽団,Tokyo City Philharmonic Orchestra,組曲「水上の音楽」第2番 ニ長調 HMV.349 第2曲 'Alla Hornpipe',"<Water Music> Suite no. 2 in D major, HWV. 349. 2 'Alla Hornpipe'",RWC-MDB-G-2001-M05,1,クラシック,Classical,バロック(管弦楽),Baroque(Orchestral),RWC-MDB-G-2001-M05/01.wav
50,50,"ベートーヴェン, L.v.","Beethoven, Ludwig van",東京シティ・フィルハーモニック管弦楽団,Tokyo City Philharmonic Orchestra,「エグモント」序曲,"<Egmont> Overture, op.84",RWC-MDB-G-2001-M05,2,クラシック,Classical,古典派(管弦楽),Classic(Orchestral),RWC-MDB-G-2001-M05/02.wav
51,51,"ワーグナー, R.","Wagner, Richard",東京シティ・フィルハーモニック管弦楽団,Tokyo City Philharmonic Orchestra,「ニュルンベルクのマイスタージンガー」第1幕への前奏曲,"<Die Meistersinger von Nurnberg>, Prelude to Act 1",RWC-MDB-G-2001-M05,3,クラシック,Classical,ロマン派(管弦楽),Romantic(Orchestral),RWC-MDB-G-2001-M05/03.wav
52,52,"ラヴェル, M.","Ravel, Maurice",東京シティ・フィルハーモニック管弦楽団,Tokyo City Philharmonic Orchestra,「道化師の朝の歌」,'Alborada del Gracioso',RWC-MDB-G-2001-M05,4,クラシック,Classical,近代(管弦楽),Modern(Orchestral),RWC-MDB-G-2001-M05/04.wav
53,53,"ホルスト, G.","Holst, Gustav",東京シティ・フィルハーモニック管弦楽団,Tokyo City Philharmonic Orchestra,組曲「惑星」op.32より「木星」,"'Jupiter' from Suite <The Planets>, op.32",RWC-MDB-G-2001-M05,5,クラシック,Classical,近代(管弦楽),Modern(Orchestral),RWC-MDB-G-2001-M05/05.wav
54,54,"スーザ, J.P.","Sausa, John Philip",東京佼成ウインドオーケストラ,Tokyo Kosei Wind Orchestra,行進曲「星条旗よ永遠なれ」,'The Stars and Stripes Forever',RWC-MDB-G-2001-M05,6,行進曲,March,ブラスバンド,Brass Band,RWC-MDB-G-2001-M05/06.wav
55,55,"シュトラウス I, J.","Strauss I, Johann",東京佼成ウインドオーケストラ,Tokyo Kosei Wind Orchestra,「ラデツキー更新曲」op.228,"'Radetzky March', op.228",RWC-MDB-G-2001-M05,7,行進曲,March,ブラスバンド,Brass Band,RWC-MDB-G-2001-M05/07.wav
56,56,"エルガー, E.","Elgar, Edward",東京佼成ウインドオーケストラ,Tokyo Kosei Wind Orchestra,行進曲「威風堂々」第1番 op.39-1,<Pomp and Circumstance> March no.1 op.39-1,RWC-MDB-G-2001-M05,8,行進曲,March,ブラスバンド,Brass Band,RWC-MDB-G-2001-M05/08.wav
57,57,"バッハ, J.S.","Bach, Johann Sebastian",菅 哲也,Tetsuya Kan,トッカータとフーガ ニ短調 BWV.565,"Toccata and Fugue in D minor, BWV. 565",RWC-MDB-G-2001-M06,1,クラシック,Classical,バロック(器楽/オルガン),Baroque(Solo/Organ),RWC-MDB-G-2001-M06/01.wav
58,58,"バッハ, J.S.","Bach, Johann Sebastian",渡邊 温子,Atsuko Watanabe,2声のインヴェンションより 第1番ハ長調 BMV.772,"Two-Part Inventions no.1 in C major, BWV.772",RWC-MDB-G-2001-M06,2,クラシック,Classical,バロック(器楽/チェンバロ),Baroque(Solo/Cembalo),RWC-MDB-G-2001-M06/02.wav
59,58,"バッハ, J.S.","Bach, Johann Sebastian",渡邊 温子,Atsuko Watanabe,2声のインヴェンションより 第4番ニ短調 BMV.775,"Two-Part Inventions no.4 in D minor, BMV.775",RWC-MDB-G-2001-M06,3,クラシック,Classical,バロック(器楽/チェンバロ),Baroque(Solo/Cembalo),RWC-MDB-G-2001-M06/03.wav
60,58,"バッハ, J.S.","Bach, Johann Sebastian",渡邊 温子,Atsuko Watanabe,2声のインヴェンションより 第14番変ロ長調 BMV.785,"Two-Part Inventions no.14 in B flat major, BWV.785",RWC-MDB-G-2001-M06,4,クラシック,Classical,バロック(器楽/チェンバロ),Baroque(Solo/Cembalo),RWC-MDB-G-2001-M06/04.wav
61,59,"モーツァルト, W.A.","Mozart, Wolfgang Amadeus",古市 ゆり子,Yuriko Furuichi,ロンド ニ長調 K.485,"Rondo in D major, K.485",RWC-MDB-G-2001-M06,5,クラシック,Classical,古典派(器楽/ピアノ),Classic(Solo/Piano),RWC-MDB-G-2001-M06/05.wav
62,60,ハイドン F.J.,"Hydn, Franz Joseph",ウッド・ランド・ノーツ,Wood Land Notes,管弦四重奏曲 第77番 ハ長調 op.76-3(Hob. 3-77) 「皇帝」 第2楽章,"String Quartet no.77 in C major, op.76-3(Hob. 3-77) 'Kaiser'",RWC-MDB-G-2001-M06,6,クラシック,Classical,古典派(室内楽),Classic(Chamber),RWC-MDB-G-2001-M06/06.wav
63,61,"チャイコフスキー, P.I.","Tchaikovsky, Pyotr Ilich",ウッド・ランド・ノーツ,Wood Land Notes,管弦四重奏曲 第1番 ニ長調 op.11 第2楽章 (アンダンテ・カンタービレ),"String Quartet no.1 in D major, op.11. 2nd mvmt. (Andante Cantabile)",RWC-MDB-G-2001-M06,7,クラシック,Classical,ロマン派(室内楽),Romantic(Chamber),RWC-MDB-G-2001-M06/07.wav
64,62,"ショパン, F.F.","Chopin, Frederic Francois",峰尾 百合,Yuri Mineo,エチュード 変ト長調 op.10-5 「黒鍵」,"Etude in G flat major, op. 10-5",RWC-MDB-G-2001-M06,8,クラシック,Classical,ロマン派(器楽/ピアノ),Romantic(Solo/Piano),RWC-MDB-G-2001-M06/08.wav
65,63,"ドビュッシー, A.-C.","Debussy, Achille-Claude",古市 ゆり子,Yuriko Furuichi,「ベルガマスク組曲」より「月の光」,'Clair de Lune' from <Suite Bergamasque>,RWC-MDB-G-2001-M06,9,クラシック,Classical,近代(器楽/ピアノ),Modern(Solo/Piano),RWC-MDB-G-2001-M06/09.wav
66,64,,,22 Project Band,22 Project Band,Blue Print,Blue Print,RWC-MDB-G-2001-M07,1,ワールド,World,ブルース,Blues,RWC-MDB-G-2001-M07/01.wav
67,65,,,22 Project Band,22 Project Band,Got'em Both,Got'em Both,RWC-MDB-G-2001-M07,2,ワールド,World,ブルース,Blues,RWC-MDB-G-2001-M07/02.wav
68,66,,,22 Project Band,22 Project Band,Dear John's Letter,Dear John's Letter,RWC-MDB-G-2001-M07,3,ワールド,World,ブルース,Blues,RWC-MDB-G-2001-M07/03.wav
69,67,,,Donna Burke,Donna Burke,Dream Angel,Dream Angel,RWC-MDB-G-2001-M07,4,ワールド,World,フォーク,Folk,RWC-MDB-G-2001-M07/04.wav
70,68,,,釜木 茂一,Shigekazu Kamaki,Grassy Dance,Grassy Dance,RWC-MDB-G-2001-M07,5,ワールド,World,フォーク,Folk,RWC-MDB-G-2001-M07/05.wav
71,69,,,Greg Irwin,Greg Irwin,What Should I Tell Them?,What Should I Tell Them?,RWC-MDB-G-2001-M07,6,ワールド,World,フォーク,Folk,RWC-MDB-G-2001-M07/06.wav
72,70,,,Banjo Club,Bonjo Club,Bjc Fiddle Rag,Bjc Fiddle Rag,RWC-MDB-G-2001-M07,7,ワールド,World,カントリー,Country,RWC-MDB-G-2001-M07/07.wav
73,71,,,Banjo Club,Bonjo Club,Desperate Little Man,Desperate Little Man,RWC-MDB-G-2001-M07,8,ワールド,World,カントリー,Country,RWC-MDB-G-2001-M07/08.wav
74,72,,,Banjo Club,Bonjo Club,I Don't Love Nobody,I Don't Love Nobody,RWC-MDB-G-2001-M07,9,ワールド,World,カントリー,Country,RWC-MDB-G-2001-M07/09.wav
75,73,,,22 Project Band,22 Project Band,Not Enough Words,Not Enough Words,RWC-MDB-G-2001-M07,10,ワールド,World,ゴスペル,Gospel,RWC-MDB-G-2001-M07/10.wav
76,74,,,22 Project Band,22 Project Band,With My Jalopy,With My Jalopy,RWC-MDB-G-2001-M07,11,ワールド,World,ゴスペル,Gospel,RWC-MDB-G-2001-M07/11.wav
77,75,,,22 Project Band,22 Project Band,My Faith,My Faith,RWC-MDB-G-2001-M07,12,ワールド,World,ゴスペル,Gospel,RWC-MDB-G-2001-M07/12.wav
78,76,,,Fresh Jumbe,Fresh Jumbe,Havini Tishi Tishi,Havini Tishi Tishi,RWC-MDB-G-2001-M08,1,ワールド,World,アフリカン,African,RWC-MDB-G-2001-M08/01.wav
79,77,,,Fresh Jumbe,Fresh Jumbe,Kasheki,Kasheki,RWC-MDB-G-2001-M08,2,ワールド,World,アフリカン,African,RWC-MDB-G-2001-M08/02.wav
80,78,,,Fresh Jumbe,Fresh Jumbe,Mwanambuzi,Mwanambuzi,RWC-MDB-G-2001-M08,3,ワールド,World,アフリカン,African,RWC-MDB-G-2001-M08/03.wav
81,79,,,シャンティ,Shanti,Raga Charukesi - Alap,Raga Charukesi - Alap,RWC-MDB-G-2001-M08,4,ワールド,World,インド,Indian,RWC-MDB-G-2001-M08/04.wav
82,80,,,シャンティ,Shanti,Raga Charukesi - Vilambit Teentaal,Raga Charukesi - Vilambit Teentaal,RWC-MDB-G-2001-M08,5,ワールド,World,インド,Indian,RWC-MDB-G-2001-M08/05.wav
83,81,,,シャンティ,Shanti,Raga Charukesi - Drut Teentaal,Raga Charukesi - Drut Teentaal,RWC-MDB-G-2001-M08,6,ワールド,World,インド,Indian,RWC-MDB-G-2001-M08/06.wav
84,82,,,David LainFiesta,David LainFiesta,Sevillanas,Sevillanas,RWC-MDB-G-2001-M08,7,ワールド,World,フラメンコ,Flamenco,RWC-MDB-G-2001-M08/07.wav
85,83,,,Miguel de Badajoz,Miguel de Badajoz,Tangos,Tangos,RWC-MDB-G-2001-M08,8,ワールド,World,フラメンコ,Flamenco,RWC-MDB-G-2001-M08/08.wav
86,84,,,David LainFiesta,David LainFiesta,Rumba,Rumba,RWC-MDB-G-2001-M08,9,ワールド,World,フラメンコ,Flamenco,RWC-MDB-G-2001-M08/09.wav
87,85,,,Monden Momo,Monden Momo,白いバラ,Rue Saint-Vincent 'Rose Balanche',RWC-MDB-G-2001-M08,10,声楽,Vocal,シャンソン,Chanson,RWC-MDB-G-2001-M08/10.wav
88,86,,,Monden Momo,Monden Momo,桜んぼの実る頃,Le Temps Des Cerises,RWC-MDB-G-2001-M08,11,声楽,Vocal,シャンソン,Chanson,RWC-MDB-G-2001-M08/11.wav
89,87,,,Monden Momo,Monden Momo,あなたが大好き,Je Te Veux,RWC-MDB-G-2001-M08,12,声楽,Vocal,シャンソン,Chanson,RWC-MDB-G-2001-M08/12.wav
90,88,,,青木 純,Jun Aoki,サンタルチア,Santa Lucia,RWC-MDB-G-2001-M08,13,声楽,Vocal,カンツォーネ,Canzone,RWC-MDB-G-2001-M08/13.wav
91,89,,,青木 純,Jun Aoki,オーソレミオ,O Sole Mio,RWC-MDB-G-2001-M08,14,声楽,Vocal,カンツォーネ,Canzone,RWC-MDB-G-2001-M08/14.wav
92,90,,,青木 純,Jun Aoki,帰れ ソレントへ,Turna A Surriento,RWC-MDB-G-2001-M08,15,声楽,Vocal,カンツォーネ,Canzone,RWC-MDB-G-2001-M08/15.wav
93,91,,,西 一男,Kazuo Nishi,大漁船,Tairyo Bune,RWC-MDB-G-2001-M09,1,邦楽,Traditional Japanese,演歌,Popular(Enka),RWC-MDB-G-2001-M09/01.wav
94,92,,,西 一男,Kazuo Nishi,北の子守唄,Kita no Komoriuta,RWC-MDB-G-2001-M09,2,邦楽,Traditional Japanese,演歌,Popular(Enka),RWC-MDB-G-2001-M09/02.wav
95,93,,,吉井 弘美,Hiromi Yoshii,愛 ひとひら,Ai Hitohira,RWC-MDB-G-2001-M09,3,邦楽,Traditional Japanese,演歌,Popular(Enka),RWC-MDB-G-2001-M09/03.wav
96,94,,,渡辺 真千,Machi Watanabe,佐渡おけさ,Sado Okesa,RWC-MDB-G-2001-M09,4,邦楽,Traditional Japanese,民謡,Folk(Min'you),RWC-MDB-G-2001-M09/04.wav
97,95,,,渡辺 真千,Machi Watanabe,南部牛追歌,Nambu Ushioiuta,RWC-MDB-G-2001-M09,5,邦楽,Traditional Japanese,民謡,Folk(Min'you),RWC-MDB-G-2001-M09/05.wav
98,96,,,渡辺 真千,Machi Watanabe,ソーラン節,Soroan bushi,RWC-MDB-G-2001-M09,6,邦楽,Traditional Japanese,民謡,Folk(Min'you),RWC-MDB-G-2001-M09/06.wav
99,97,,,鳳楽堂,Hougakudo,平調 超殿楽,Hyojo Etenraku,RWC-MDB-G-2001-M09,7,邦楽,Traditional Japanese,雅楽,Court(Gagaku),RWC-MDB-G-2001-M09/07.wav
100,98,,,鳳楽堂,Hougakudo,大食調 合歓塩,Taishikicho Gakkaen,RWC-MDB-G-2001-M09,8,邦楽,Traditional Japanese,雅楽,Court(Gagaku),RWC-MDB-G-2001-M09/08.wav
101,99,,,鳳楽堂,Hougakudo,大食調 長慶子,Taishikicho Chogeishi,RWC-MDB-G-2001-M09,9,邦楽,Traditional Japanese,雅楽,Court(Gagaku),RWC-MDB-G-2001-M09/09.wav
102,100,,,Dik,Dik,Preicious Love,Precious Love,RWC-MDB-G-2001-M09,10,ア・カペラ,A Cappella,ア・カペラ,A Cappella,RWC-MDB-G-2001-M09/10.wav
